snapshot,bike_id,status,crm,reserved,disabled,timestamp,longitude,latitude
snapshot_121,74d9afc9-f00b-44ff-abed-958a1d8da460,Residential,15976,False,False,1748808600,10.907271,49.904551
snapshot_121,115224b0-8a1a-4846-b93a-df98ba890751,Residential,12461,False,False,1748808600,10.884151,49.893735
snapshot_121,be31d78e-9557-41d5-8aec-0254d02c96b5,Residential,21454,False,False,1748808600,10.892699,49.898097
snapshot_121,7424aff8-0fd6-4082-8e78-909046f2f17e,Residential,10853,False,False,1748808600,10.9005,49.8985
snapshot_121,dca7eece-b5a6-43b7-8ab5-5d51fbb82293,Residential,13999,False,False,1748808600,10.877039,49.892741
snapshot_121,50b399b5-4869-41ed-a2f2-2afb47cc760b,Residential,17813,False,False,1748808600,10.897014,49.901109
snapshot_121,12c55ff6-31a8-4514-a146-a16f9e53071a,Residential,19477,False,False,1748808600,10.895334,49.899036
snapshot_121,745d24aa-122f-4e19-85e2-d92ae3e6d467,Residential,21078,False,False,1748808600,10.884491,49.898731
snapshot_121,5f51f079-219d-499a-9041-0b8e265573de,Residential,11191,False,False,1748808600,10.875215,49.889246
snapshot_121,faf9a103-f44f-457f-8430-c51ce5bb0b17,Residential,15342,False,False,1748808600,10.8865,49.8925
snapshot_121,b71192c2-339a-4115-b103-178caa433327,Residential,16601,False,False,1748808600,10.9005,49.8985
snapshot_121,027599bb-60ad-4d58-963e-6d1acf584e8f,Residential,21055,False,False,1748808600,10.9005,49.8985
snapshot_121,790402cf-2784-4a7a-b415-0a30c6fd6934,Residential,17777,False,False,1748808600,10.909573,49.903944
snapshot_121,2348e430-aa6a-4651-ae5e-c389d5f22fec,Dropoff,17282,False,False,1748808600,10.894864,49.902762
snapshot_121,75841c57-8533-4981-9962-828e47805d1f,Residential,11539,False,False,1748808600,10.885329,49.89686
snapshot_121,b856a03a-18b3-42b6-88a7-6b5f55f324d7,Residential,15079,False,False,1748808600,10.896688,49.896866
snapshot_121,a0074f20-0b4f-471b-be5b-fc5706376fd1,Residential,8447,False,False,1748808600,10.8865,49.8925
snapshot_121,3a1ea314-0787-4751-8002-cffcba60bae4,Residential,13889,False,False,1748808600,10.890478,49.894615
snapshot_121,96c5cde7-8b4e-43b0-9107-640468bd63f1,Residential,16090,False,False,1748808600,10.883815,49.892483
snapshot_121,e2746708-688f-43e8-8de4-010951964f31,Residential,10549,False,False,1748808600,10.9005,49.8985
snapshot_121,8f0dfeb6-1ca9-48cd-a4d4-aeee12c9e23b,Residential,20690,False,False,1748808600,10.899431,49.898795
snapshot_121,2f5402e1-8e20-44de-976b-53b9de3419fd,Residential,17401,False,False,1748808600,10.885397,49.897725
snapshot_121,78e8e285-439a-41df-942c-6c96fc9eeb7c,Residential,19548,False,False,1748808600,10.907056,49.902808
snapshot_121,bd961b0a-bee5-49ab-a78f-87d6b03ba6fe,Residential,11690,False,False,1748808600,10.892651,49.898251
snapshot_121,2534d179-f609-4652-bfe0-59e318835622,Residential,17018,False,False,1748808600,10.9005,49.8985
snapshot_121,b57af745-bbe5-47a1-b69a-48385ee006d4,Dropoff,12687,False,False,1748808600,10.8865,49.8925
snapshot_121,379d0502-6462-4bc1-a1d9-363932a91a88,Residential,14371,False,False,1748808600,10.899044,49.899071
snapshot_121,7cd0e04a-2ca0-4450-bf72-21f4653a853a,Residential,18873,False,False,1748808600,10.896136,49.897262
snapshot_121,5dd8aa8b-6372-41ac-a8bf-e9b7a680a2bb,Residential,13433,False,False,1748808600,10.883014,49.898131
snapshot_121,9bb437ea-8b80-48ae-b81d-6cc80ad23d0d,Residential,18055,False,False,1748808600,10.892748,49.898365
snapshot_121,92d0b10a-2cdf-492c-badd-ae11dfc5f6a8,Residential,20158,False,False,1748808600,10.887156,49.893763
snapshot_121,fb2e8573-981a-4b54-a551-72fa95d019bd,Residential,16383,False,False,1748808600,10.887366,49.896754
snapshot_121,4745941c-4cea-4ca2-902d-fd7bf732cdf9,Residential,8121,False,False,1748808600,10.879967,49.896893
snapshot_121,439c636c-588e-4826-933d-7b9741fe26ee,Residential,12369,False,False,1748808600,10.893576,49.895397
snapshot_121,00a1f91d-42fc-40d1-8a1f-8dbe15710661,Residential,13153,False,False,1748808600,10.8914,49.896757
snapshot_121,0dab85ed-4982-4a65-b71d-4f01ce311c4d,Residential,8339,False,False,1748808600,10.894849,49.897974
snapshot_121,571dc548-7cc1-4097-ac9e-09feadb9c37e,Residential,19275,False,False,1748808600,10.883193,49.890004
snapshot_121,67a6a777-ac4b-433a-b0dd-af4fc319d479,Residential,18095,False,False,1748808600,10.888727,49.897405
snapshot_121,39cbb5a5-11f9-4a90-8a65-621b2a214df6,Residential,13934,False,False,1748808600,10.895,49.903
snapshot_121,303c9e75-4011-48b3-b39e-a7fc1f5aec22,Residential,15523,False,False,1748808600,10.890652,49.900776
